case,time_proper_Myr,front_radius_proper_kpc,analytic_radius_proper_kpc,absolute_error_proper_kpc
instantaneous_20,16.43398432012368,2.6575467566144706,2.7015425124017383,0.043995755787267665
instantaneous_20,16.734420814411738,2.684466954231812,2.716818866568775,0.03235191233696311
instantaneous_20,17.011944228884207,2.705555241942237,2.7307463332509405,0.025191091308703673
instantaneous_20,17.26722119859921,2.7223298154205837,2.7434056373539044,0.021075821933320693
instantaneous_20,17.50285388437973,2.73597726634236,2.754964850427588,0.01898758408522827
instantaneous_20,17.72112070310566,2.747294058164949,2.765566688407556,0.018272630242607057
instantaneous_20,17.92403521203821,2.756834839874858,2.775333666309834,0.01849882643497569
instantaneous_20,18.113383551736277,2.764997762145216,2.7843716094405386,0.019373847295322655
instantaneous_20,18.290751570425606,2.7720759838093647,2.792772250930745,0.020696267121380174
instantaneous_20,18.457546808833175,2.778290060519792,2.800615280732746,0.022325220212954022
instantaneous_20,18.615017696781056,2.783809034624169,2.8079700349689873,0.024161000344818273
instantaneous_20,18.76427096769565,2.7887645885861807,2.8148969272241633,0.02613233863798259
instantaneous_20,18.906287678190143,2.7932607967106664,2.821448679605428,0.028187882894761707
instantaneous_20,19.04193795829796,2.7973810013320795,2.8276713893643284,0.030290388032248927
instantaneous_20,19.171994528246785,2.801192761775393,2.833605455740898,0.032412693965504946
instantaneous_20,19.297145005314704,2.804751482203783,2.8392863859572763,0.03453490375349322
instantaneous_20,19.418003041771954,2.8081031157518415,2.844745496158946,0.03664238040710455
instantaneous_20,19.53511835945192,2.811286211614553,2.8500105211800437,0.03872430956549078
instantaneous_20,19.64898576840278,2.8143334879022195,2.8551061456271323,0.040772657724912786
instantaneous_20,19.760053273201986,2.8172730581164718,2.8600544676362483,0.04278140951977649
instantaneous_20,19.86872938085226,2.8201294024116916,2.864875405647138,0.04474600323544653
instantaneous_20,19.975389730233537,2.8229241499296793,2.8695870576384332,0.04666290770875392
instantaneous_20,20.080383166501065,2.8256767214393355,2.8742060214834577,0.04852930004412226
instantaneous_20,20.184037386476696,2.8284048697694146,2.8787476844479953,0.050342814678580705
instantaneous_20,20.286664284957375,2.831125147494719,2.8832264894015,0.05210134190678062
instantaneous_20,20.388565138530453,2.8338533260189958,2.887656185083256,0.0538028590642603
instantaneous_20,20.490035774885975,2.836604786974103,2.8920500678071623,0.05544528083305922
instantaneous_20,20.591371894502533,2.8393949053963974,2.896421222391833,0.0570263169954357
instantaneous_20,20.69287474039312,2.842239444346784,2.900782770940434,0.058543326593650136
instantaneous_20,20.794857355273077,2.8451549826412643,2.9051481395452923,0.059993156904027956
instantaneous_20,20.89765173033372,2.8481594015450638,2.909531355281364,0.061371953736300444
instantaneous_20,21.00161724537122,2.8512724634158797,2.9139473893319336,0.06267492591605395
instantaneous_20,21.107150941989858,2.854516526674023,2.9184125673420183,0.06389604066799537
instantaneous_20,21.214700383902688,2.8579174593520107,2.9229450760073448,0.06502761665533408
instantaneous_20,21.324780180719518,2.861505841598874,2.9275656069578027,0.06605976535892877
instantaneous_20,21.437993750004708,2.8653185923886015,2.9322981976337226,0.06697960524512103
instantaneous_20,21.55506267913987,2.869401228795226,2.9371713582409402,0.06777012944571403
instantaneous_20,21.676867322611884,2.873811088508567,2.9422196213584293,0.06840853284986226
instantaneous_20,21.804504392568454,2.878622057325981,2.9474857296384522,0.06886367231247137
instantaneous_20,21.939370952536937,2.883931720903234,2.953023812273996,0.069092091370762
instantaneous_20,22.083290746754134,2.8898725639841616,2.958904141430756,0.06903157744659438
