RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
18.507031,-0.091001738,100.25224,99.833258
18.546094,-0.090811915,100.25126,99.834006
18.585156,-0.09062323,100.25031,99.834768
18.624219,-0.090435783,100.2494,99.835551
18.663281,-0.090249691,100.24856,99.836362
18.702344,-0.09006509,100.24778,99.837209
18.741406,-0.089882136,100.24708,99.8381
18.780469,-0.089700999,100.24648,99.839047
18.819531,-0.089521859,100.24599,99.840058
18.858594,-0.089344903,100.24563,99.841146
18.897656,-0.089170315,100.24541,99.84232
18.936719,-0.088998276,100.24536,99.84359
18.975781,-0.088828951,100.24548,99.844967
19.014844,-0.08866249,100.2458,99.84646
19.053906,-0.088499021,100.24631,99.848074
19.092969,-0.088338649,100.24704,99.849817
19.132031,-0.088181455,100.24798,99.851692
19.171094,-0.088027501,100.24915,99.853704
19.210156,-0.087876825,100.25055,99.855855
19.249219,-0.087729452,100.25219,99.858146
19.288281,-0.087585392,100.25405,99.860577
19.327344,-0.087444645,100.25615,99.86315
19.366406,-0.087307203,100.25848,99.865862
19.405469,-0.087173056,100.26105,99.868714
19.444531,-0.087042188,100.26385,99.871705
19.483594,-0.086914582,100.26688,99.874833
19.522656,-0.086790221,100.27015,99.878099
19.561719,-0.086669087,100.27365,99.881499
19.600781,-0.086551161,100.27738,99.885033
19.639844,-0.086436425,100.28134,99.888699
19.678906,-0.086324861,100.28553,99.892495
19.717969,-0.08621645,100.28996,99.896417
19.757031,-0.086111175,100.29462,99.900462
19.796094,-0.086009017,100.29952,99.904625
19.835156,-0.08590996,100.30467,99.908898
19.874219,-0.085813984,100.31006,99.913271
19.913281,-0.085721074,100.31572,99.917731
19.952344,-0.085631233,100.32166,99.922261
19.991406,-0.08554476,100.32786,99.926821
20.030469,-0.085466431,100.33396,99.93111
