time_proper_Myr,radiation_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
1.746227439098745615e-01,4.456701393326934833e-54,2.101388844107178178e-12,2.120836134551986429e-42
1.781865361056956532e-01,4.358798058398442350e-54,2.104925894373095052e-12,2.070760813979445345e-42
1.815209156957851289e-01,4.333781598933141262e-54,2.106032178586808725e-12,2.057794578353118315e-42
1.850852174320946897e-01,4.272414400581228763e-54,2.109506798192947348e-12,2.025314355109487468e-42
1.884142372688004941e-01,4.260664859617562748e-54,2.110275366481109539e-12,2.019008953661926283e-42
1.919520051888322365e-01,4.216123362524634507e-54,2.113976622413698561e-12,1.994403967301561084e-42
1.949903013491011972e-01,4.210183611300239648e-54,2.114605611513823303e-12,1.991001815362730918e-42
1.985083620958292272e-01,4.143935543510907032e-54,2.120523690931962308e-12,1.954203841830063467e-42
2.000000000000000111e-01,4.132296767966521819e-54,2.121419247561390000e-12,1.947892559529038033e-42
2.000000000000000389e-01,4.132296767966520081e-54,2.121419247561389596e-12,1.947892559529037395e-42
