case,time_proper_Myr,front_radius_proper_kpc,analytic_radius_proper_kpc,absolute_error_proper_kpc
instantaneous_100000,244.51437531953792,5.234875287898382,5.137584477681808,0.09729081021657393
instantaneous_100000,244.51937531953791,5.234886716955478,5.137595450274423,0.09729126668105437
instantaneous_100000,244.5243753195379,5.23489814594752,5.137606422371764,0.097291723575756
instantaneous_100000,244.52937531953793,5.23490957487529,5.137617393973853,0.09729218090143643
instantaneous_100000,244.53437531953793,5.234921003740099,5.137628365080718,0.09729263865938087
instantaneous_100000,244.53937531953792,5.234932432542727,5.137639335692381,0.09729309685034604
instantaneous_100000,244.54437531953792,5.234943861284221,5.137650305808866,0.09729355547535512
instantaneous_100000,244.54937531953792,5.234955289965626,5.1376612754302,0.09729401453542597
instantaneous_100000,244.5543753195379,5.234966718588512,5.1376722445564065,0.09729447403210578
instantaneous_100000,244.55937531953793,5.2349781471534,5.13768321318751,0.09729493396588929
instantaneous_100000,244.56437531953793,5.234989575661332,5.137694181323534,0.09729539433779788
instantaneous_100000,244.56937531953793,5.23500100411388,5.137705148964505,0.09729585514937522
instantaneous_100000,244.57437531953792,5.235012432511824,5.137716116110446,0.09729631640137804
instantaneous_100000,244.57937531953792,5.235023860856206,5.137727082761383,0.09729677809482329
instantaneous_100000,244.5843753195379,5.235035289148069,5.137738048917339,0.09729724023072972
instantaneous_100000,244.5893753195379,5.2350467173884585,5.137749014578339,0.09729770281011962
instantaneous_100000,244.59437531953793,5.235058145578676,5.137759979744409,0.09729816583426665
instantaneous_100000,244.59937531953793,5.235069573719771,5.137770944415571,0.09729862930420019
instantaneous_100000,244.60437531953792,5.235081001812781,5.137781908591852,0.09729909322092922
instantaneous_100000,244.60937531953792,5.235092429858222,5.137792872273275,0.09729955758494668
instantaneous_100000,244.6143753195379,5.235103857857928,5.137803835459865,0.09730002239806357
instantaneous_100000,244.6193753195379,5.235115285812409,5.137814798151647,0.09730048766076216
instantaneous_100000,244.62437531953793,5.235126713723239,5.137825760348645,0.0973009533745941
instantaneous_100000,244.62937531953793,5.235138141591186,5.137836722050883,0.0973014195403028
instantaneous_100000,244.63437531953792,5.235149569417566,5.137847683258387,0.09730188615917967
instantaneous_100000,244.63937531953792,5.235160997202886,5.137858643971181,0.09730235323170522
instantaneous_100000,244.64437531953791,5.235172424948713,5.137869604189288,0.09730282075942487
instantaneous_100000,244.6493753195379,5.235183852655829,5.137880563912734,0.09730328874309446
instantaneous_100000,244.65437531953793,5.235195280325533,5.137891523141544,0.09730375718398854
instantaneous_100000,244.65937531953793,5.235206707958596,5.137902481875742,0.09730422608285405
instantaneous_100000,244.66437531953792,5.235218135556329,5.137913440115352,0.09730469544097708
instantaneous_100000,244.66937531953792,5.235229563120028,5.137924397860399,0.09730516525962951
instantaneous_100000,244.67437531953792,5.235240990650475,5.1379353551109075,0.09730563553956717
instantaneous_100000,244.6793753195379,5.235252418148708,5.137946311866902,0.09730610628180525
instantaneous_100000,244.68437531953793,5.235263845615758,5.137957268128408,0.09730657748735005
instantaneous_100000,244.68937531953793,5.235275273052672,5.137968223895448,0.09730704915722388
instantaneous_100000,244.69437531953793,5.235286700460738,5.137979179168047,0.0973075212926906
instantaneous_100000,244.69937531953792,5.235298127840745,5.137990133946231,0.09730799389451406
instantaneous_100000,244.70437531953792,5.2353095551939814,5.138001088230023,0.09730846696395812
instantaneous_100000,244.7093753195379,5.235320982521492,5.138012042019448,0.0973089405020442
instantaneous_100000,244.7143753195379,5.235332409824049,5.138022995314532,0.09730941450951658
