time_proper_Myr,radiation_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
5.177121980724094102e-02,1.312794508784144905e-53,2.670534649759030524e-12,4.915849000134118705e-42
5.210956856478052984e-02,1.309983394877027804e-53,2.670594958977412053e-12,4.905211816091455613e-42
5.244819447775136978e-02,1.305358820106045808e-53,2.670713953135348842e-12,4.887677388937846994e-42
5.278709938773095550e-02,1.300143359613921132e-53,2.670803005965883057e-12,4.867986731742240780e-42
5.312628485058728395e-02,1.296445785160993877e-53,2.670882853318325151e-12,4.853997185051676187e-42
5.346575212830825818e-02,1.293336038955096215e-53,2.671013851915558192e-12,4.842116554459500834e-42
5.380550217537527491e-02,1.291142554166701370e-53,2.671122883815900406e-12,4.833707060014427257e-42
5.414553562064221282e-02,1.289446301870858012e-53,2.671226313846043799e-12,4.827169810311981233e-42
5.448585274559699515e-02,1.287585709119215052e-53,2.671356150060264064e-12,4.819970220332350601e-42
5.482645345980066698e-02,1.285467277556361142e-53,2.671432655940295356e-12,4.811902237916980641e-42
5.516733727420403133e-02,1.282626989803586611e-53,2.671493639256275732e-12,4.801160560354770730e-42
5.550850327292152636e-02,1.277948433146971676e-53,2.671613771579197728e-12,4.783432570762550918e-42
5.584995008393698473e-02,1.272883218436163696e-53,2.671703383378312440e-12,4.764313382822571644e-42
5.619167584917106328e-02,1.269388756175517207e-53,2.671783232148618441e-12,4.751091858431526946e-42
5.653367819436938557e-02,1.266444647669852039e-53,2.671914525637318285e-12,4.739839674952825848e-42
5.687595419935482371e-02,1.264365222966026205e-53,2.672023766161503177e-12,4.731863686910055049e-42
5.721850036929793104e-02,1.262746079921681126e-53,2.672126399293164662e-12,4.725622561326832575e-42
5.756131260777063580e-02,1.260867129828996603e-53,2.672252674679576542e-12,4.718367921477276151e-42
5.790438619243386265e-02,1.258637364096840727e-53,2.672327258561660847e-12,4.709892323495899376e-42
5.824771575424491504e-02,1.255639105856875082e-53,2.672390000069343106e-12,4.698562357381571468e-42
5.859129470603127027e-02,1.250579386882316064e-53,2.672511632525340668e-12,4.679416065630382494e-42
5.893509755513592213e-02,1.245993414815970278e-53,2.672601487345359829e-12,4.662099533790164991e-42
5.927911556396804615e-02,1.242824536628676491e-53,2.672681185970071050e-12,4.650103959846536763e-42
5.962333934743274666e-02,1.240129876028142259e-53,2.672813519298818594e-12,4.639791991000838174e-42
5.996775890119883379e-02,1.238213151585798706e-53,2.672924272640139670e-12,4.632428850529210178e-42
6.031236362147853608e-02,1.236686479924881617e-53,2.673024185788119277e-12,4.626544295783297245e-42
6.065714233207809836e-02,1.234709408334304185e-53,2.673144129057957058e-12,4.618940650871033318e-42
6.100208331722258709e-02,1.232263178177732201e-53,2.673217372693638994e-12,4.609663212445964906e-42
6.134717435860642665e-02,1.228985803543977698e-53,2.673282584672245084e-12,4.597291025612453929e-42
6.169240277508937498e-02,1.223621103432976247e-53,2.673404902645109836e-12,4.577013763318477874e-42
6.203775546512053929e-02,1.219653149107236342e-53,2.673494476867337927e-12,4.562018585265089569e-42
6.238321895260789951e-02,1.216870129231803348e-53,2.673574785039683164e-12,4.551472193861753502e-42
6.272877943590567107e-02,1.214467317313646131e-53,2.673707818342318782e-12,4.542258914688022633e-42
6.307442283871902977e-02,1.212737234375937388e-53,2.673819714107672217e-12,4.535598372535230442e-42
6.342013486204428618e-02,1.211272026186362688e-53,2.673911843600929288e-12,4.529962455886934682e-42
6.376590103702987899e-02,1.209080374226290588e-53,2.674024343556338190e-12,4.521575793204131272e-42
6.411170677893497649e-02,1.206331501911430403e-53,2.674098218625407200e-12,4.511171255824450144e-42
6.445753744216306536e-02,1.202674726395066057e-53,2.674165832910773815e-12,4.497382741166727419e-42
6.480337837612455687e-02,1.197410324182923247e-53,2.674287838584989415e-12,4.477492313678893696e-42
6.514921498164433222e-02,1.194052609797244908e-53,2.674376970484981676e-12,4.464787959869064060e-42
6.549503276765304693e-02,1.191653827957926409e-53,2.674457874021745311e-12,4.455683671569535400e-42
6.584080910516966478e-02,1.189538859696866648e-53,2.674592189262573521e-12,4.447552282820510489e-42
6.618650750985913267e-02,1.187981339362588648e-53,2.674703003001509285e-12,4.441544866960760839e-42
6.653211491388059950e-02,1.186488168090524117e-53,2.674782220216663026e-12,4.435830921570938265e-42
6.687761867633459922e-02,1.183933985370696419e-53,2.674895807497180806e-12,4.426093839066082088e-42
6.722300664309260876e-02,1.180821516735713728e-53,2.674971152745635927e-12,4.414333648135601245e-42
6.756826718222887218e-02,1.176562710539331566e-53,2.675038902002230306e-12,4.398301309407838280e-42
6.791338921971515341e-02,1.172112791945593370e-53,2.675159172137888853e-12,4.381469350135468226e-42
6.825836226978228283e-02,1.169297735047381927e-53,2.675247340694720981e-12,4.370802345115996564e-42
6.860317646233754507e-02,1.167244789194109878e-53,2.675329237062263568e-12,4.362994927965736051e-42
6.894782256989614999e-02,1.165389285703285484e-53,2.675464143358769582e-12,4.355839672140996547e-42
6.929229203172829199e-02,1.163946215372764711e-53,2.675568223474955078e-12,4.350276719391827361e-42
6.963657697194138019e-02,1.162324481715729452e-53,2.675632430988648862e-12,4.344111202472790217e-42
6.998067021103177021e-02,1.159474114243859311e-53,2.675741307711082693e-12,4.333281812043750041e-42
7.032456527241279232e-02,1.156012652926375492e-53,2.675816780043438091e-12,4.320223497916809322e-42
7.066825638493107187e-02,1.151645385982818741e-53,2.675882762149080826e-12,4.303796123929952017e-42
7.101173848127233235e-02,1.147946249873411280e-53,2.675999763077671528e-12,4.289784572152414672e-42
7.135500719200831010e-02,1.145528859658608956e-53,2.676086861649648199e-12,4.280611650073490774e-42
7.169805883554708492e-02,1.143738702707157647e-53,2.676169113141288924e-12,4.273790834408952796e-42
7.204089040453647008e-02,1.142077376747821932e-53,2.676301926804304389e-12,4.267371200944968856e-42
7.238349954914885531e-02,1.140652949608896143e-53,2.676393151107914595e-12,4.261903559036958619e-42
7.272588455751498315e-02,1.138861412930961953e-53,2.676446686711423112e-12,4.255124597046587962e-42
7.306804433359223583e-02,1.135749609743399846e-53,2.676553215288866675e-12,4.243329081805026738e-42
7.340997837285080652e-02,1.131868459793828097e-53,2.676627507419853561e-12,4.228711154825190792e-42
7.375168673619059145e-02,1.127946767697786460e-53,2.676691101015371277e-12,4.213959419037606366e-42
7.409317002245957573e-02,1.124788490047186639e-53,2.676804788778720658e-12,4.201981761099455955e-42
7.443442933990199184e-02,1.122669197677692455e-53,2.676891197373027252e-12,4.193929132343616585e-42
7.477546627685341396e-02,1.121080657947748552e-53,2.676973608165072473e-12,4.187865933860258010e-42
7.511628287199435816e-02,1.119548856147863365e-53,2.677101554729862827e-12,4.181943916807568315e-42
7.545688158445232330e-02,1.118074721505884942e-53,2.677179709826042890e-12,4.176315536092774689e-42
7.579726526400890063e-02,1.116122837302625857e-53,2.677228157244509233e-12,4.168949270470007367e-42
7.613743712163685562e-02,1.112799270614557412e-53,2.677332822929191987e-12,4.156372570060512916e-42
7.647740070056623096e-02,1.108674823406696354e-53,2.677405374515456494e-12,4.140855299535427222e-42
7.681715984805335962e-02,1.105306245124762820e-53,2.677466838543433102e-12,4.128179028077373766e-42
7.715671868799899025e-02,1.102539165142954685e-53,2.677577642584780438e-12,4.117673928882325292e-42
7.749608159453474920e-02,1.100643479158787491e-53,2.677663714374550247e-12,4.110461942066075409e-42
7.783525316667094796e-02,1.099207905235708011e-53,2.677745745860187161e-12,4.104974891417868214e-42
7.817423820407640167e-02,1.097748019021787470e-53,2.677867076580463569e-12,4.099337224846764277e-42
7.851304168403999695e-02,1.096199423681387962e-53,2.677935121960340875e-12,4.093450265811264810e-42
7.885166873964377654e-02,1.094118598841226185e-53,2.677981481379698640e-12,4.085609278662880471e-42
7.919012463916022537e-02,1.090635053704240121e-53,2.678084155344262686e-12,4.072445040712475220e-42
