time_Myr shock_radius_over_R200 shock_speed_km_s mach_number postshock_pressure_erg_cm3 analytic_postshock_pressure_erg_cm3 ram_pressure_erg_cm3 postshock_to_ram_pressure analytic_postshock_to_ram_pressure postshock_temperature_K analytic_postshock_temperature_K cooling_time_Myr analytic_cooling_time_Myr gamma_eff gamma_eff_analytic gamma_critical
3000 0.88749838 0 3.3253556 3.3810489e-14 2.2175051e-14 3.0111343e-14 1.1228489 0.73643515 188545.86 161693.43 71.644228 74.902874 0.88904354 0.922874 1.4285714
3050 0.88749838 0 3.3204586 3.3807405e-14 2.2237433e-14 3.0197693e-14 1.119536 0.73639511 188545.86 161310.33 71.650868 74.225462 0.89821238 0.92486708 1.4285714
3100 0.88749838 0 3.3164058 3.3800476e-14 2.2295521e-14 3.0277941e-14 1.11634 0.73636184 188545.86 160993.7 71.665792 73.647726 0.90634252 0.92680361 1.4285714
3150 0.88749838 0 3.313236 3.3789851e-14 2.234958e-14 3.0352432e-14 1.1132502 0.73633573 188545.86 160746.31 71.688689 73.170224 0.91351272 0.92876242 1.4285714
3200 0.88749838 0 3.3109768 3.3775725e-14 2.2399935e-14 3.0421589e-14 1.1102551 0.73631707 188545.86 160570.14 71.719153 72.792646 0.91979947 0.93081371 1.4285714
3250 0.88749838 0 3.3096535 3.3758375e-14 2.2446797e-14 3.0485685e-14 1.1073517 0.73630613 188545.86 160467.01 71.756605 72.515157 0.92525987 0.93301542 1.4285714
3300 0.88749838 0 3.3092838 3.3738156e-14 2.2490275e-14 3.0544861e-14 1.1045444 0.73630307 188545.86 160438.2 71.800299 72.337893 0.92993952 0.93541465 1.4285714
3350 0.88749838 0 3.3098763 3.3715462e-14 2.2530413e-14 3.0599171e-14 1.1018423 0.73630797 188545.86 160484.37 71.849404 72.260753 0.93387824 0.93804968 1.4285714
3400 0.88749838 0 3.3114326 3.3690691e-14 2.2567193e-14 3.0648586e-14 1.0992576 0.73632084 188545.86 160605.68 71.90308 72.283539 0.9371103 0.94095027 1.4285714
3450 0.88749838 0 3.3139452 3.3664234e-14 2.2600515e-14 3.0692977e-14 1.0968058 0.73634158 188545.86 160801.65 71.960497 72.405843 0.93966284 0.94413441 1.4285714
3500 0.88749838 0 3.3174 3.3636405e-14 2.2630291e-14 3.0732229e-14 1.0944994 0.73637001 188545.86 161071.34 72.02099 72.626973 0.94156256 0.94761266 1.4285714
3550 0.88749838 0 3.3217774 3.3607428e-14 2.2656446e-14 3.0766247e-14 1.0923474 0.73640591 188545.86 161413.45 72.084086 72.946033 0.94283398 0.95138696 1.4285714
3600 0.88749838 0 3.3270503 3.3577444e-14 2.2678921e-14 3.0794967e-14 1.0903549 0.73644896 188545.86 161826.14 72.149491 73.361701 0.94349961 0.95544904 1.4285714
3650 0.88749838 0 3.3331837 3.3546514e-14 2.2697699e-14 3.0818379e-14 1.088523 0.73649879 188545.86 162306.97 72.217081 73.872073 0.94358115 0.95978079 1.4285714
3700 0.88749838 0 3.3401445 3.3514593e-14 2.2712825e-14 3.0836563e-14 1.0868459 0.736555 188545.86 162853.74 72.286972 74.475492 0.94309903 0.96436163 1.4285714
3750 0.88749838 0 3.3478933 3.3481602e-14 2.2724364e-14 3.0849625e-14 1.0853163 0.73661717 188545.86 163463.7 72.359344 75.142805 0.94207103 0.96891171 1.4285714
3800 0.88749838 0 3.3563825 3.3447462e-14 2.2732395e-14 3.0857696e-14 1.0839261 0.73668478 188545.86 164133.54 72.434389 75.88777 0.94051337 0.97355801 1.4285714
3850 0.88749838 0 3.3655703 3.3412061e-14 2.2737015e-14 3.0860926e-14 1.0826655 0.73675738 188545.86 164860.39 72.512368 76.714912 0.93843789 0.97833122 1.4285714
3900 0.88749838 0 3.3754088 3.337533e-14 2.2738303e-14 3.0859446e-14 1.0815272 0.73683447 188545.86 165640.87 72.593454 77.621624 0.9358538 0.98319435 1.4285714
3950 0.88749838 0 3.3858509 3.333722e-14 2.2736317e-14 3.0853356e-14 1.0805055 0.73691555 188545.86 166471.68 72.677776 78.60552 0.93276634 0.98811071 1.4285714
4000 0.88749838 0 3.3968424 3.3297739e-14 2.2731093e-14 3.0842727e-14 1.0795978 0.73700009 188545.86 167348.92 72.765333 79.66361 0.92917963 0.99304053 1.4285714
