RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
9.2773437,2.6854212,11.63927,18472.788
9.3164062,2.7036223,11.687477,18420.062
9.3554687,2.721998,11.735975,18367.358
9.3945312,2.7405442,11.784772,18314.667
9.4335937,2.7592567,11.833876,18261.977
9.4726562,2.7781312,11.883297,18209.279
9.5117187,2.7971633,11.933045,18156.562
9.5507812,2.8163488,11.983128,18103.816
9.5898438,2.8356832,12.033556,18051.029
9.6289062,2.855162,12.084339,17998.19
9.6679688,2.874781,12.135489,17945.287
9.7070312,2.8945355,12.187015,17892.31
9.7460937,2.9144213,12.238929,17839.246
9.7851562,2.9344338,12.291243,17786.084
9.8242187,2.9545686,12.343968,17732.809
9.8632812,2.9748206,12.397116,17679.412
9.9023437,2.9951859,12.450699,17625.879
9.9414062,3.0156612,12.504733,17572.196
9.9804687,3.0362429,12.559231,17518.349
10.019531,3.0569266,12.614209,17464.323
10.058594,3.0777084,12.669682,17410.101
10.097656,3.0985845,12.725668,17355.669
10.136719,3.1195514,12.782184,17301.011
10.175781,3.1406057,12.839247,17246.109
10.214844,3.1617442,12.896878,17190.946
10.253906,3.1829639,12.955097,17135.505
10.292969,3.2042623,13.013925,17079.765
10.332031,3.2256367,13.073386,17023.708
10.371094,3.2470851,13.133504,16967.312
10.410156,3.2686057,13.194304,16910.556
10.449219,3.2901969,13.255815,16853.418
10.488281,3.3118576,13.318066,16795.873
10.527344,3.3335872,13.381088,16737.896
10.566406,3.3553854,13.444915,16679.462
10.605469,3.3772525,13.509583,16620.543
10.644531,3.3991894,13.575132,16561.108
10.683594,3.4211975,13.641602,16501.127
10.722656,3.4432789,13.709038,16440.567
10.761719,3.4654364,13.777489,16379.392
10.800781,3.4876736,13.847008,16317.566
10.839844,3.5099951,13.91765,16255.048
10.878906,3.5324064,13.989478,16191.796
10.917969,3.5549139,14.062558,16127.764
10.957031,3.5775255,14.136961,16062.905
10.996094,3.6002502,14.212769,15997.165
11.035156,3.6230985,14.290067,15930.488
11.074219,3.6460828,14.368949,15862.814
11.113281,3.6692169,14.449521,15794.076
11.152344,3.6925172,14.531897,15724.203
11.191406,3.7160021,14.616203,15653.118
11.230469,3.7396929,14.702581,15580.736
11.269531,3.7636139,14.791185,15506.964
11.308594,3.787793,14.882189,15431.7
11.347656,3.8122622,14.975789,15354.833
11.386719,3.8370584,15.072203,15276.237
11.425781,3.862224,15.171677,15195.777
11.464844,3.8878082,15.27449,15113.298
11.503906,3.9138682,15.380962,15028.629
11.542969,3.9404705,15.491456,14941.576
11.582031,3.9676937,15.606394,14851.921
11.621094,3.9956305,15.726264,14759.415
11.660156,4.0243915,15.851637,14663.772
11.699219,4.0541098,15.983187,14564.664
11.738281,4.0849478,16.121717,14461.708
11.777344,4.1171056,16.268193,14354.455
11.816406,4.1508339,16.423795,14242.372
11.855469,4.1864522,16.589984,14124.82
11.894531,4.2243793,16.768603,14001.023
11.933594,4.2651878,16.962026,13870.017
11.972656,4.3096964,17.173406,13730.59
12.011719,4.3591419,17.407148,13581.162
12.050781,4.4155634,17.669849,13419.587
12.089844,4.4828507,17.972312,13242.766
12.128906,4.569655,18.334338,13045.846
12.167969,4.6970992,18.79804,12820.391
