time_Myr,temperature_cgs_K,density_nH_cgs_cm3,pressure_cgs_erg_cm3,gamma_eff,growth_rate_Myr_inv
225.0,973484.4150013527,0.00010272378115047795,2.93006960950764e-14,0.0,0.0001691721194724696
230.0,972883.8867013787,0.00010278718906431476,2.9300696095076394e-14,0.0,0.0001694255861043199
235.0,972282.8494904868,0.00010285072913957477,2.93006960950764e-14,0.0,0.00016967981919157872
240.0,971681.3022088689,0.00010291440184418037,2.93006960950764e-14,0.0,0.00016993442544235222
245.0,971079.2436967174,0.00010297820764793475,2.93006960950764e-14,0.0,0.00017018940594386113
250.0,970476.6727942248,0.0001030421470225318,2.93006960950764e-14,0.0,0.00017044476178624117
255.0,969873.5883415833,0.00010310622044156608,2.93006960950764e-14,0.0,0.00017070126447783388
260.0,969269.9891789851,0.00010317042838054282,2.93006960950764e-14,0.0,0.0001709594985667732
265.0,968665.8741466227,0.00010323477131688799,2.93006960950764e-14,0.0,0.00017121811442513546
270.0,968061.2420846883,0.00010329924972995848,2.93006960950764e-14,0.0,0.00017147711316399265
275.0,967456.0918333742,0.00010336386410105223,2.93006960950764e-14,0.0,0.00017173649589742523
280.0,966850.4222328728,0.00010342861491341862,2.93006960950764e-14,0.0,0.00017199626374252882
285.0,966244.2321233763,0.00010349350265226872,2.93006960950764e-14,0.0,0.0001722584862653324
290.0,965637.5203450772,0.00010355852780478572,2.93006960950764e-14,0.0,0.00017252118893193802
295.0,965030.2833970484,0.00010362369111152171,2.93006960950764e-14,0.0,0.00017278428431691145
300.0,964422.5209028923,0.00010368899298035885,2.9300696095076394e-14,0.0,0.00017304777322109258
305.0,963814.2323239899,0.00010375443383822601,2.93006960950764e-14,0.0,0.00017331165651798087
310.0,963205.4163984357,0.0001038200141916918,2.93006960950764e-14,0.0,0.0001735772445977166
315.0,962596.071859838,0.00010388573454989212,2.93006960950764e-14,0.0,0.0001738441159813609
320.0,961986.1974373166,0.00010395159542454457,2.9300696095076394e-14,0.0,0.00017411138864496976
325.0,961375.7918555046,0.00010401759732996279,2.93006960950764e-14,0.0,0.00017437906380422404
330.0,960764.8538345471,0.0001040837407830709,2.93006960950764e-14,0.0,0.0001746471426801142
335.0,960153.382090102,0.00010415002630341814,2.9300696095076406e-14,0.0,0.00017491624656877072
340.0,959541.3753333397,0.00010421645441319351,2.93006960950764e-14,0.0,0.00017518736745074216
345.0,958928.8322709432,0.00010428302563724064,2.93006960950764e-14,0.0,0.00017545889912452844
350.0,958315.751605108,0.0001043497405030726,2.93006960950764e-14,0.0,0.00017573084284286709
355.0,957702.1320335423,0.00010441659954088693,2.93006960950764e-14,0.0,0.0001760031998639538
360.0,957087.972209807,0.0001044836032879103,2.93006960950764e-14,0.0,0.0001762759757138203
365.0,956473.2702616137,0.00010455075234109584,2.93006960950764e-14,0.0,0.00017655143017043405
370.0,955858.0253912023,0.00010461804718234507,2.93006960950764e-14,0.0,0.00017682730523574215
375.0,955242.2362736277,0.00010468548835329676,2.93006960950764e-14,0.0,0.00017710360220279923
380.0,954625.9015793493,0.00010475307639836537,2.93006960950764e-14,0.0,0.00017738032237032847
385.0,954009.0199742313,0.0001048208118647569,2.93006960950764e-14,0.0,0.00017765746704274458
390.0,953391.5901195427,0.0001048886953024846,2.93006960950764e-14,0.0,0.00017793680589692237
395.0,952773.6106719576,0.000104956727264385,2.93006960950764e-14,0.0,0.00017821711038117424
400.0,952155.0802835547,0.000105024908306134,2.93006960950764e-14,0.0,0.00017849784687329806
405.0,951535.9976018176,0.00010509323898626301,2.93006960950764e-14,0.0,0.00017877901671171706
410.0,950916.3612696347,0.00010516171986617522,2.93006960950764e-14,0.0,0.00017906062124071288
415.0,950296.1699252992,0.00010523035151016213,2.93006960950764e-14,0.0,0.00017934400831503606
420.0,949675.4222025092,0.00010529913448541996,2.93006960950764e-14,0.0,0.00017962883053677505
425.0,949054.1167303675,0.00010536806936206637,2.93006960950764e-14,0.0,0.0001799140951585183
430.0,948432.252133382,0.00010543715671315718,2.93006960950764e-14,0.0,0.00018019980355955806
435.0,947809.8270314651,0.00010550639711470329,2.93006960950764e-14,0.0,0.00018048595712521508
440.0,947186.8400399341,0.0001055757911456877,2.93006960950764e-14,0.0,0.00018077356619928801
445.0,946563.2897695114,0.00010564533938808259,2.93006960950764e-14,0.0,0.00018106299667050818
450.0,945939.174826324,0.00010571504242686657,2.93006960950764e-14,0.0,0.0001813528802282042
455.0,945314.4938119035,0.00010578490085004215,2.93006960950764e-14,0.0,0.0001816432182937459
460.0,944689.245323187,0.00010585491524865309,2.93006960950764e-14,0.0,0.00018193401229470355
465.0,944063.4279525155,0.00010592508621680216,2.93006960950764e-14,0.0,0.00018222602303578317
470.0,943437.0402876358,0.0001059954143516688,2.93006960950764e-14,0.0,0.00018252015452271784
475.0,942810.0809116988,0.00010606590025352705,2.9300696095076406e-14,0.0,0.00018281475008554595
480.0,942182.5484032604,0.00010613654452576352,2.93006960950764e-14,0.0,0.00018310981118895952
485.0,941554.4413362817,0.00010620734777489559,2.93006960950764e-14,0.0,0.00018340533930403236
490.0,940925.7582801282,0.00010627831061058958,2.93006960950764e-14,0.0,0.00018370193744775328
495.0,940296.4977995703,0.00010634943364567926,2.93006960950764e-14,0.0,0.0001840008650335773
500.0,939666.6584547835,0.00010642071749618428,2.93006960950764e-14,0.0,0.00018430026799653984
